file,kind,vessel_px,total_px,vessel_frac
train_1000_b0000.png,b,0,7225,0.0
train_1000_b0001.png,b,163,7225,0.022560553633217992
train_1000_b0002.png,b,1140,7225,0.15778546712802768
train_1000_b0003.png,b,0,7225,0.0
train_1000_b0004.png,b,0,7225,0.0
train_1000_b0100.png,b,0,7225,0.0
train_1000_b0101.png,b,1243,7225,0.1720415224913495
train_1000_b0102.png,b,1838,7225,0.2543944636678201
train_1000_b0103.png,b,541,7225,0.07487889273356402
train_1000_b0104.png,b,0,7225,0.0
train_1000_b0200.png,b,0,7225,0.0
train_1000_b0201.png,b,0,7225,0.0
train_1000_b0202.png,b,0,7225,0.0
train_1000_b0203.png,b,1492,7225,0.20650519031141867
train_1000_b0204.png,b,242,7225,0.03349480968858132
train_1000_b0300.png,b,0,7225,0.0
train_1000_b0301.png,b,0,7225,0.0
train_1000_b0302.png,b,0,7225,0.0
train_1000_b0303.png,b,995,7225,0.13771626297577855
train_1000_b0304.png,b,989,7225,0.13688581314878892
train_1000_b0400.png,b,0,7225,0.0
train_1000_b0401.png,b,0,7225,0.0
train_1000_b0402.png,b,0,7225,0.0
train_1000_b0403.png,b,775,7225,0.10726643598615918
train_1000_b0404.png,b,0,7225,0.0
train_1000_p0000.png,p,0,7225,0.0
train_1000_p0001.png,p,0,7310,0.0
train_1000_p0002.png,p,0,7225,0.0
train_1000_p0003.png,p,0,7225,0.0
train_1000_p0004.png,p,0,7310,0.0
train_1000_p0005.png,p,0,7225,0.0
train_1000_p0100.png,p,0,7310,0.0
train_1000_p0101.png,p,157,7396,0.02122769064359113
train_1000_p0102.png,p,2755,7310,0.37688098495212036
train_1000_p0103.png,p,758,7310,0.10369357045143639
train_1000_p0104.png,p,0,7396,0.0
train_1000_p0105.png,p,0,7310,0.0
train_1000_p0200.png,p,0,7225,0.0
train_1000_p0201.png,p,0,7310,0.0
train_1000_p0202.png,p,0,7225,0.0
train_1000_p0203.png,p,1534,7225,0.21231833910034603
train_1000_p0204.png,p,722,7310,0.0987688098495212
train_1000_p0205.png,p,0,7225,0.0
train_1000_p0300.png,p,0,7225,0.0
train_1000_p0301.png,p,0,7310,0.0
train_1000_p0302.png,p,0,7225,0.0
train_1000_p0303.png,p,0,7225,0.0
train_1000_p0304.png,p,1856,7310,0.2538987688098495
train_1000_p0305.png,p,139,7225,0.019238754325259514
train_1000_p0400.png,p,0,7310,0.0
train_1000_p0401.png,p,0,7396,0.0
train_1000_p0402.png,p,0,7310,0.0
train_1000_p0403.png,p,0,7310,0.0
train_1000_p0404.png,p,975,7396,0.1318280151433207
train_1000_p0405.png,p,268,7310,0.036662106703146374
train_1000_p0500.png,p,0,7225,0.0
train_1000_p0501.png,p,0,7310,0.0
train_1000_p0502.png,p,0,7225,0.0
train_1000_p0503.png,p,0,7225,0.0
train_1000_p0504.png,p,311,7310,0.042544459644322845
train_1000_p0505.png,p,0,7225,0.0
train_100_b0000.png,b,0,7225,0.0
train_100_b0001.png,b,790,7225,0.10934256055363321
train_100_b0002.png,b,603,7225,0.08346020761245675
train_100_b0003.png,b,0,7225,0.0
train_100_b0004.png,b,0,7225,0.0
train_100_b0100.png,b,0,7225,0.0
train_100_b0101.png,b,0,7225,0.0
train_100_b0102.png,b,948,7225,0.13121107266435986
train_100_b0103.png,b,0,7225,0.0
train_100_b0104.png,b,0,7225,0.0
train_100_b0200.png,b,0,7225,0.0
train_100_b0201.png,b,0,7225,0.0
train_100_b0202.png,b,700,7225,0.09688581314878893
train_100_b0203.png,b,40,7225,0.005536332179930796
train_100_b0204.png,b,0,7225,0.0
train_100_b0300.png,b,0,7225,0.0
train_100_b0301.png,b,0,7225,0.0
train_100_b0302.png,b,355,7225,0.04913494809688582
train_100_b0303.png,b,464,7225,0.06422145328719724
train_100_b0304.png,b,0,7225,0.0
train_100_b0400.png,b,0,7225,0.0
train_100_b0401.png,b,0,7225,0.0
train_100_b0402.png,b,4,7225,0.0005536332179930796
train_100_b0403.png,b,841,7225,0.11640138408304498
train_100_b0404.png,b,0,7225,0.0
train_100_p0000.png,p,0,7225,0.0
train_100_p0001.png,p,106,7310,0.014500683994528044
train_100_p0002.png,p,251,7225,0.03474048442906574
train_100_p0003.png,p,0,7225,0.0
train_100_p0004.png,p,0,7310,0.0
train_100_p0005.png,p,0,7225,0.0
train_100_p0100.png,p,0,7310,0.0
train_100_p0101.png,p,198,7396,0.026771227690643593
train_100_p0102.png,p,870,7310,0.11901504787961696
train_100_p0103.png,p,551,7310,0.07537619699042408
train_100_p0104.png,p,0,7396,0.0
train_100_p0105.png,p,0,7310,0.0
train_100_p0200.png,p,0,7225,0.0
train_100_p0201.png,p,0,7310,0.0
train_100_p0202.png,p,0,7225,0.0
train_100_p0203.png,p,716,7225,0.09910034602076125
train_100_p0204.png,p,0,7310,0.0
train_100_p0205.png,p,0,7225,0.0
train_100_p0300.png,p,0,7225,0.0
train_100_p0301.png,p,0,7310,0.0
train_100_p0302.png,p,0,7225,0.0
train_100_p0303.png,p,826,7225,0.11432525951557093
train_100_p0304.png,p,0,7310,0.0
train_100_p0305.png,p,0,7225,0.0
train_100_p0400.png,p,0,7310,0.0
train_100_p0401.png,p,0,7396,0.0
train_100_p0402.png,p,0,7310,0.0
train_100_p0403.png,p,845,7310,0.11559507523939809
train_100_p0404.png,p,0,7396,0.0
train_100_p0405.png,p,0,7310,0.0
train_100_p0500.png,p,0,7225,0.0
train_100_p0501.png,p,0,7310,0.0
train_100_p0502.png,p,0,7225,0.0
train_100_p0503.png,p,421,7225,0.058269896193771625
train_100_p0504.png,p,388,7310,0.05307797537619699
train_100_p0505.png,p,0,7225,0.0
train_101_b0000.png,b,308,7225,0.042629757785467126
train_101_b0001.png,b,1087,7225,0.15044982698961937
train_101_b0002.png,b,189,7225,0.02615916955017301
train_101_b0003.png,b,0,7225,0.0
train_101_b0004.png,b,0,7225,0.0
train_101_b0100.png,b,1077,7225,0.14906574394463667
train_101_b0101.png,b,0,7225,0.0
train_101_b0102.png,b,0,7225,0.0
train_101_b0103.png,b,0,7225,0.0
train_101_b0104.png,b,0,7225,0.0
train_101_b0200.png,b,1050,7225,0.1453287197231834
train_101_b0201.png,b,0,7225,0.0
train_101_b0202.png,b,0,7225,0.0
train_101_b0203.png,b,0,7225,0.0
train_101_b0204.png,b,0,7225,0.0
train_101_b0300.png,b,629,7225,0.08705882352941176
train_101_b0301.png,b,916,7225,0.12678200692041522
train_101_b0302.png,b,860,7225,0.11903114186851212
train_101_b0303.png,b,281,7225,0.03889273356401384
train_101_b0304.png,b,0,7225,0.0
train_101_b0400.png,b,0,7225,0.0
train_101_b0401.png,b,0,7225,0.0
train_101_b0402.png,b,0,7225,0.0
train_101_b0403.png,b,0,7225,0.0
train_101_b0404.png,b,0,7225,0.0
train_101_p0000.png,p,0,7225,0.0
train_101_p0001.png,p,0,7310,0.0
train_101_p0002.png,p,0,7225,0.0
train_101_p0003.png,p,0,7225,0.0
train_101_p0004.png,p,0,7310,0.0
train_101_p0005.png,p,0,7225,0.0
train_101_p0100.png,p,284,7310,0.038850889192886456
train_101_p0101.png,p,1165,7396,0.15751757706868577
train_101_p0102.png,p,759,7310,0.10383036935704515
train_101_p0103.png,p,0,7310,0.0
train_101_p0104.png,p,0,7396,0.0
train_101_p0105.png,p,0,7310,0.0
train_101_p0200.png,p,860,7225,0.11903114186851212
train_101_p0201.png,p,157,7310,0.021477428180574555
train_101_p0202.png,p,0,7225,0.0
train_101_p0203.png,p,0,7225,0.0
train_101_p0204.png,p,0,7310,0.0
train_101_p0205.png,p,0,7225,0.0
train_101_p0300.png,p,7,7225,0.0009688581314878892
train_101_p0301.png,p,1562,7310,0.21367989056087552
train_101_p0302.png,p,540,7225,0.07474048442906574
train_101_p0303.png,p,0,7225,0.0
train_101_p0304.png,p,0,7310,0.0
train_101_p0305.png,p,0,7225,0.0
train_101_p0400.png,p,0,7310,0.0
train_101_p0401.png,p,0,7396,0.0
train_101_p0402.png,p,402,7310,0.05499316005471956
train_101_p0403.png,p,703,7310,0.09616963064295486
train_101_p0404.png,p,0,7396,0.0
train_101_p0405.png,p,0,7310,0.0
train_101_p0500.png,p,0,7225,0.0
train_101_p0501.png,p,0,7310,0.0
train_101_p0502.png,p,0,7225,0.0
train_101_p0503.png,p,0,7225,0.0
train_101_p0504.png,p,0,7310,0.0
train_101_p0505.png,p,0,7225,0.0
train_102_b0000.png,b,0,7225,0.0
train_102_b0001.png,b,0,7225,0.0
train_102_b0002.png,b,0,7225,0.0
train_102_b0003.png,b,0,7225,0.0
train_102_b0004.png,b,0,7225,0.0
train_102_b0100.png,b,0,7225,0.0
train_102_b0101.png,b,557,7225,0.07709342560553634
train_102_b0102.png,b,2065,7225,0.28581314878892733
train_102_b0103.png,b,755,7225,0.10449826989619378
train_102_b0104.png,b,0,7225,0.0
train_102_b0200.png,b,0,7225,0.0
train_102_b0201.png,b,0,7225,0.0
train_102_b0202.png,b,0,7225,0.0
train_102_b0203.png,b,1083,7225,0.1498961937716263
train_102_b0204.png,b,1174,7225,0.16249134948096886
train_102_b0300.png,b,0,7225,0.0
train_102_b0301.png,b,0,7225,0.0
train_102_b0302.png,b,0,7225,0.0
train_102_b0303.png,b,831,7225,0.11501730103806228
train_102_b0304.png,b,157,7225,0.021730103806228373
train_102_b0400.png,b,0,7225,0.0
train_102_b0401.png,b,339,7225,0.0469204152249135
train_102_b0402.png,b,1140,7225,0.15778546712802768
train_102_b0403.png,b,802,7225,0.11100346020761245
train_102_b0404.png,b,0,7225,0.0
train_102_p0000.png,p,0,7225,0.0
train_102_p0001.png,p,0,7310,0.0
train_102_p0002.png,p,0,7225,0.0
train_102_p0003.png,p,0,7225,0.0
train_102_p0004.png,p,0,7310,0.0
train_102_p0005.png,p,0,7225,0.0
train_102_p0100.png,p,0,7310,0.0
train_102_p0101.png,p,0,7396,0.0
train_102_p0102.png,p,58,7310,0.007934336525307797
train_102_p0103.png,p,113,7310,0.01545827633378933
train_102_p0104.png,p,0,7396,0.0
train_102_p0105.png,p,0,7310,0.0
train_102_p0200.png,p,0,7225,0.0
train_102_p0201.png,p,0,7310,0.0
train_102_p0202.png,p,1452,7225,0.20096885813148788
train_102_p0203.png,p,1853,7225,0.2564705882352941
train_102_p0204.png,p,867,7310,0.1186046511627907
train_102_p0205.png,p,0,7225,0.0
train_102_p0300.png,p,0,7225,0.0
train_102_p0301.png,p,0,7310,0.0
train_102_p0302.png,p,0,7225,0.0
train_102_p0303.png,p,0,7225,0.0
train_102_p0304.png,p,1167,7310,0.15964432284541724
train_102_p0305.png,p,622,7225,0.08608996539792388
train_102_p0400.png,p,0,7310,0.0
train_102_p0401.png,p,0,7396,0.0
train_102_p0402.png,p,0,7310,0.0
train_102_p0403.png,p,314,7310,0.04295485636114911
train_102_p0404.png,p,714,7396,0.09653866955110871
train_102_p0405.png,p,0,7310,0.0
train_102_p0500.png,p,0,7225,0.0
train_102_p0501.png,p,0,7310,0.0
train_102_p0502.png,p,840,7225,0.11626297577854672
train_102_p0503.png,p,924,7225,0.12788927335640138
train_102_p0504.png,p,0,7310,0.0
train_102_p0505.png,p,0,7225,0.0
train_103_b0000.png,b,112,7225,0.015501730103806228
train_103_b0001.png,b,1590,7225,0.22006920415224915
